Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDP 1219-300 WT+WT";"Подвесной светильник Lumina Deco Orito LDP 1219-300 WT+WT";Светильники;Современный;6700;белый;белый;металл;стекло;белый;белый;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;400;"450 - 1350";ORITO;"https://luminadecoshop.ru/24783/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-300-wtwt.jpg;https://luminadecoshop.ru/24784/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-300-wtwt.jpg;https://luminadecoshop.ru/24785/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-300-wtwt.jpg";3;1
"LDP 1219-300 WT+GD";"Подвесной светильник Lumina Deco Orito LDP 1219-300 WT+GD";Светильники;Современный;6700;"белый, золотой";белый;металл;стекло;белый;белый;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;400;"450 - 1350";ORITO;"https://luminadecoshop.ru/24786/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-300-wtgd.jpg;https://luminadecoshop.ru/24787/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-300-wtgd.jpg;https://luminadecoshop.ru/24788/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-300-wtgd.jpg";3;3
"LDP 6814 GY";"Подвесной светильник Lumina Deco Cesio LDP 6814 GY";Светильники;"Современный, Скандинавский";7700;"дымчатый серый";"темно серый";"металл, стекло";стекло;хром;черный;"Lumina Deco";E27;220-240;40;IP20;1;140;140;;300;"350 - 1250";NORDICA;"https://luminadecoshop.ru/24789/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6814-gy.jpg;https://luminadecoshop.ru/25139/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6814-gy.jpg";2;4
"LDP 6814 PR";"Подвесной светильник Lumina Deco Cesio LDP 6814 PR";Светильники;"Современный, Скандинавский";7700;хром;прозрачный;"металл, стекло";стекло;хром;черный;"Lumina Deco";E27;220-240;40;IP20;1;140;140;;300;"350 - 1250";NORDICA;"https://luminadecoshop.ru/26923/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6814-pr.jpg;https://luminadecoshop.ru/26924/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6814-pr.jpg;https://luminadecoshop.ru/26925/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6814-pr.jpg";2;5
"LDP 6815 CHR";"Подвесной светильник Lumina Deco Etrica LDP 6815 CHR";Светильники;"Современный, Скандинавский";9000;хром;хром;"металл, стекло";стекло;хром;черный;"Lumina Deco";E27;220-240;40;IP20;1;140;140;;300;"350 - 1250";ETRICA;"https://luminadecoshop.ru/24791/podvesnoj-svetilnik-lumina-deco-etrica-ldp-6815-chr.jpg;https://luminadecoshop.ru/24792/podvesnoj-svetilnik-lumina-deco-etrica-ldp-6815-chr.jpg;https://luminadecoshop.ru/25045/podvesnoj-svetilnik-lumina-deco-etrica-ldp-6815-chr.jpg";;12
"LDP 6812 GY";"Подвесной светильник Lumina Deco Cesio LDP 6812 GY";Светильники;Современный;15250;"хром, дымчатый серый";"темно серый, хром";"металл, стекло";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;300;"350 - 1100";CESIO;"https://luminadecoshop.ru/24800/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6812-gy.jpg;https://luminadecoshop.ru/25041/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6812-gy.jpg";3,5;3
"LDP 6812 PR";"Подвесной светильник Lumina Deco Cesio LDP 6812 PR";Светильники;Современный;15250;"прозрачный, хром";прозрачный;"металл, стекло";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;300;"350 - 1100";CESIO;"https://luminadecoshop.ru/26823/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6812-pr.jpg;https://luminadecoshop.ru/26824/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6812-pr.jpg;https://luminadecoshop.ru/26825/podvesnoj-svetilnik-lumina-deco-cesio-ldp-6812-pr.jpg";3,5;5
"LDP 6813 GY";"Подвесной светильник Lumina Deco Monti LDP 6813 GY";Светильники;Современный;11600;"хром, дымчатый серый";"темно серый, хром";"металл, стекло";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;180;180;;330;"350 - 1200";CESIO;"https://luminadecoshop.ru/24803/podvesnoj-svetilnik-lumina-deco-monti-ldp-6813-gy.jpg;https://luminadecoshop.ru/25043/podvesnoj-svetilnik-lumina-deco-monti-ldp-6813-gy.jpg";2,5;0
"LDP 6813 PR";"Подвесной светильник Lumina Deco Monti LDP 6813 PR";Светильники;Современный;11600;хром;прозрачный;"металл, стекло";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;180;180;;330;"350 - 1200";MONTI;"https://luminadecoshop.ru/26926/podvesnoj-svetilnik-lumina-deco-monti-ldp-6813-pr.jpg;https://luminadecoshop.ru/26927/podvesnoj-svetilnik-lumina-deco-monti-ldp-6813-pr.jpg;https://luminadecoshop.ru/26928/podvesnoj-svetilnik-lumina-deco-monti-ldp-6813-pr.jpg";;0
"LDP 6850 BK";"Подвесной светильник Lumina Deco Raveo LDP 6850 BK";Светильники;Современный;10750;"черный, прозрачный";"черный, прозрачный";"металл, стекло";стекло;хром;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;400;400;;200;"300 - 1200";RAVEO;"https://luminadecoshop.ru/22192/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-bk.jpg;https://luminadecoshop.ru/22771/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-bk.jpg;https://luminadecoshop.ru/23248/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-bk.jpg;https://luminadecoshop.ru/23719/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-bk.jpg;https://luminadecoshop.ru/24805/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-bk.jpg;https://luminadecoshop.ru/25046/podvesnoj-svetilnik-lumina-deco-raveo-ldp-6850-bk.jpg";4,5;2
